Protein.Id,Gene.Symbol,Description,Group ID,Number.of.peptides,Collapsed?,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10
##tr|H0YEZ9|H0YEZ9_HUMAN,##UBQLN1,##H0YEZ9_HUMAN ##Ubiquilin-1 (Fragment),5108,1,C,100.966,79.6137,73.5824,62.3864,39.8173,37.8644,19.4079,11.0957,5.93923,3.76642
##tr|Q9NSI0|Q9NSI0_HUMAN,##PRED58,##Q9NSI0_HUMAN ##PRED58 protein (Fragment),4545,1,C,232.932,187.576,218.361,184.755,204.033,164.645,167.98,85.3912,46.1227,16.7708
sp|O00139-4|KIF2A_HUMAN,KIF2A,KIF2A_HUMAN Isoform 4 of Kinesin-like protein KIF2A,1773,11,C,1527.75,1464.62,1284.06,1210.68,1070.73,860.974,580.039,400.58,230.984,163.783
sp|O00148|DX39A_HUMAN,DDX39A,DX39A_HUMAN ATP-dependent RNA helicase DDX39A,2514,5,C,459.173,463.913,385.144,385.529,275.35,204.742,104.213,71.3151,41.6692,37.0049
sp|O00151|PDLI1_HUMAN,PDLIM1,PDLI1_HUMAN PDZ and LIM domain protein 1,2266,12,C,860.842,926.82,727.795,823.391,708.365,726.056,580.68,598.543,481.737,496.292
sp|O00154|BACH_HUMAN,ACOT7,BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase,312,19,C,1462.37,1497.91,1272.09,1309.01,1157.41,1213.85,999.485,889.81,478.657,289.213
sp|O00159-3|MYO1C_HUMAN,MYO1C,MYO1C_HUMAN Isoform 3 of Unconventional myosin-Ic,1866,7,C,409.182,399.007,332.524,264.995,172.705,94.4674,45.0796,13.987,4.84932,0
sp|O00161|SNP23_HUMAN,SNAP23,SNP23_HUMAN Synaptosomal-associated protein 23,2835,1,C,68.6726,80.5063,78.4483,69.108,60.1141,51.2723,33.951,27.5557,18.413,18.0663
sp|O00170|AIP_HUMAN,AIP,AIP_HUMAN AH receptor-interacting protein,1056,9,C,1248,1121.85,1171.96,940.683,722.88,415.055,195.117,96.9885,58.5309,34.2385
sp|O00178|GTPB1_HUMAN,GTPBP1,GTPB1_HUMAN GTP-binding protein 1,2439,4,C,391.564,353.085,302.405,254.372,190.554,113.582,63.5288,32.8219,18.6732,5.752
sp|O00186|STXB3_HUMAN,STXBP3,STXB3_HUMAN Syntaxin-binding protein 3,1635,4,C,210.576,199.719,186.573,169.32,122.646,96.9403,48.8819,30.7112,15.6616,14.6002
sp|O00189|AP4M1_HUMAN,AP4M1,AP4M1_HUMAN AP-4 complex subunit mu-1,4473,1,C,55.292,45.5781,38.7753,34.228,25.2441,17.6383,8.77659,6.60887,0,5.3027
sp|O00193|SMAP_HUMAN,SMAP,SMAP_HUMAN Small acidic protein,3379,7,C,763.688,723.883,662.037,630.186,618.582,595.444,620.281,560.213,535.473,597.915
sp|O00203|AP3B1_HUMAN,AP3B1,AP3B1_HUMAN AP-3 complex subunit beta-1,749,16,C,2295.57,2004.22,1842.33,1479.18,1150.94,763.761,421.703,226.897,145.856,100.103
sp|O00213|APBB1_HUMAN,APBB1,APBB1_HUMAN Amyloid beta A4 precursor protein-binding family B member 1,3713,3,C,201.538,181.809,151.882,140.432,104.352,78.9058,50.6999,28.2569,23.4662,22.1868
sp|O00221|IKBE_HUMAN,NFKBIE,IKBE_HUMAN NF-kappa-B inhibitor epsilon,4361,1,C,47.4594,45.4486,25.8271,35.6579,24.4669,17.9477,13.0783,7.63107,5.95104,5.28402
sp|O00231-2|PSD11_HUMAN,PSMD11,PSD11_HUMAN Isoform 2 of 26S proteasome non-ATPase regulatory subunit 11,248,11,C,1174.49,1166.4,999.479,954.906,671.493,403.851,198.92,114.303,67.9385,43.2906
sp|O00232|PSD12_HUMAN,PSMD12,PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12,2917,10,C,1154.4,1136.01,964.309,939.221,667.584,465.473,191.94,116.086,53.1223,32.9062
sp|O00233|PSMD9_HUMAN,PSMD9,PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9,2834,6,C,531.301,547.221,526.495,465.202,418.287,399.816,324.706,339.861,334.81,325.604
sp|O00244|ATOX1_HUMAN,ATOX1,ATOX1_HUMAN Copper transport protein ATOX1,5555,1,C,147.699,114.575,124.286,117.507,106.642,85.6259,73.6519,62.8976,48.4207,44.1574
sp|O00255|MEN1_HUMAN,MEN1,MEN1_HUMAN Menin,3175,2,C,201.046,214.285,155.76,114.829,71.8576,54.6268,22.8174,11.1837,3.45925,3.29661
sp|O00257|CBX4_HUMAN,CBX4,CBX4_HUMAN E3 SUMO-protein ligase CBX4,154,1,C,147.317,132.421,130.197,103.925,90.9993,52.2735,31.663,26.7988,20.494,17.3566
sp|O00267|SPT5H_HUMAN,SUPT5H,SPT5H_HUMAN Transcription elongation factor SPT5,1940,16,C,1957.37,1798.64,1652.85,1534.43,1246.37,761.896,350.839,189.201,120.916,96.0133
sp|O00268|TAF4_HUMAN,TAF4,TAF4_HUMAN Transcription initiation factor TFIID subunit 4,2486,2,C,215.481,193.563,164.654,150.894,124.609,94.7948,61.1646,32.5273,38.436,24.1372
sp|O00273|DFFA_HUMAN,DFFA,DFFA_HUMAN DNA fragmentation factor subunit alpha,142,6,C,255.174,243.303,225.9,210.628,190.246,178.563,152.245,145.805,91.5464,109.572
sp|O00273-2|DFFA_HUMAN,DFFA,DFFA_HUMAN Isoform DFF35 of DNA fragmentation factor subunit alpha,142,1,C,25.0736,30.7938,22.3754,19.9943,22.73,19.4488,19.0633,16.4819,15.25,11.0718
sp|O00287|RFXAP_HUMAN,RFXAP,RFXAP_HUMAN Regulatory factor X-associated protein,5381,1,C,24.3819,29.6762,25.6197,22.9118,22,17.7394,12.7399,16.0402,16.7013,16.9177
sp|O00291|HIP1_HUMAN,HIP1,HIP1_HUMAN Huntingtin-interacting protein 1,264,13,C,1210.27,1166.86,1056.54,909.691,693.161,427.62,249.162,131.273,84.4181,57.5192
sp|O00299|CLIC1_HUMAN,CLIC1,CLIC1_HUMAN Chloride intracellular channel protein 1,4246,8,C,840.819,730.692,787.554,648.738,597.748,373.352,151.069,86.5072,46.9611,41.7357
sp|O00303|EIF3F_HUMAN,EIF3F,EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F,2250,9,C,1363.32,1184.57,1085.61,931.172,618.77,403.327,211.024,104.319,57.7948,37.4995
sp|O00308|WWP2_HUMAN,WWP2,WWP2_HUMAN NEDD4-like E3 ubiquitin-protein ligase WWP2,1032,1,C,105.044,90.7653,77.2858,64.2304,54.5313,29.4778,15.4037,8.15671,6.65649,2.50513
sp|O00330|ODPX_HUMAN,PDHX,"ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial",1610,4,C,302.956,322.601,234.402,237.856,217.339,160.2,78.8625,38.1169,13.1834,13.2506
sp|O00399|DCTN6_HUMAN,DCTN6,DCTN6_HUMAN Dynactin subunit 6,5100,2,C,114.135,80.7798,88.6756,89.3984,82.8727,69.3435,68.1203,39.785,36.5175,19.8921
sp|O00401|WASL_HUMAN,WASL,WASL_HUMAN Neural Wiskott-Aldrich syndrome protein,482,5,C,324.148,318.997,266.422,261.812,216.454,173.091,99.1636,58.9109,28.9179,27.5714
sp|O00409|FOXN3_HUMAN,FOXN3,FOXN3_HUMAN Forkhead box protein N3,5613,1,C,70.5872,77.076,39.4361,64.129,47.32,44.7161,36.7949,27.9137,24.8218,28.803
sp|O00410-3|IPO5_HUMAN,IPO5,IPO5_HUMAN Isoform 3 of Importin-5,1993,13,C,1420.92,1382.06,1211.51,1110.54,791.229,451.531,220.974,103.078,60.5036,31.0863
sp|O00411|RPOM_HUMAN,POLRMT,"RPOM_HUMAN DNA-directed RNA polymerase, mitochondrial",1391,4,C,552.751,476.434,434.646,339.477,260.546,196.022,111.063,62.1792,60.4244,45.9606
sp|O00422|SAP18_HUMAN,SAP18,SAP18_HUMAN Histone deacetylase complex subunit SAP18,3523,7,C,719.133,631.015,611.928,458.296,345.66,229.901,131.048,77.2638,51.2974,44.6722
sp|O00423-3|EMAL1_HUMAN,EML1,EMAL1_HUMAN Isoform 3 of Echinoderm microtubule-associated protein-like 1,2613,8,C,571.691,561.828,489.705,475.584,437.833,358.506,241.582,117.59,74.5411,43.8333
sp|O00425|IF2B3_HUMAN,IGF2BP3,IF2B3_HUMAN Insulin-like growth factor 2 mRNA-binding protein 3,1458,11,C,1892.88,1639.84,1437.87,1140.93,774.847,511.556,248.893,118.195,82.3287,56.897
sp|O00429|DNM1L_HUMAN,DNM1L,DNM1L_HUMAN Dynamin-1-like protein,1449,14,C,2081.93,1962.48,1752.2,1564.16,1178.93,721.663,388.564,222.145,120.326,80.4886
sp|O00442-2|RTCA_HUMAN,RTCA,RTCA_HUMAN Isoform 2 of RNA 3'-terminal phosphate cyclase,2833,5,C,750.083,740.968,549.551,543.763,399.412,323.185,198.602,148.04,112.558,73.07
sp|O00443|P3C2A_HUMAN,PIK3C2A,P3C2A_HUMAN Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,2746,9,C,890.438,891.186,804.209,667.003,515.592,360.648,267.032,190.034,176.566,135.781
sp|O00459|P85B_HUMAN,PIK3R2,P85B_HUMAN Phosphatidylinositol 3-kinase regulatory subunit beta,237,4,C,303.518,276.502,219.043,195.282,118.812,78.3856,34.3225,16.5138,8.02611,5.63523
sp|O00461|GOLI4_HUMAN,GOLIM4,GOLI4_HUMAN Golgi integral membrane protein 4,1084,2,C,300.692,295.266,280.104,249.751,170.673,120.645,64.4606,43.0468,32.5905,32.9021
sp|O00462|MANBA_HUMAN,MANBA,MANBA_HUMAN Beta-mannosidase,3646,4,C,306.293,299.448,265.981,259.545,237.177,195.189,118.674,58.7787,25.7842,15.0208
sp|O00463|TRAF5_HUMAN,TRAF5,TRAF5_HUMAN TNF receptor-associated factor 5,2438,2,C,274.214,243.553,196.892,163.472,93.1373,63.0369,19.6187,12.8346,8.52326,5.26209
sp|O00471|EXOC5_HUMAN,EXOC5,EXOC5_HUMAN Exocyst complex component 5,3528,9,C,1462.85,1346.18,1174.32,931.98,600.011,369.34,159.511,83.7842,55.3736,31.3567
sp|Q13043|STK4_HUMAN,STK4,STK4_HUMAN Serine/threonine-protein kinase 4,984,6,C,600.432,593.116,512.709,524.28,470.296,463.29,346.348,255.655,102.863,49.2538
